183,StaRt,StaRt,HARD,19,01:53.8,528,HHW,"Mar 31, 2019",4.977/sec,190,190,https://bangdream.blog.so-net.ne.jp/2019-03-31-1,01:53.707,01:53.707,01:51.158,01:46.105
183,StaRt,StaRt,NORMAL,14,01:53.8,291,HHW,"Mar 31, 2019",2.759/sec,190,190,https://bangdream.blog.so-net.ne.jp/2019-03-31-2,01:53.707,01:53.707,01:51.158,01:45.474
183,StaRt,StaRt,EASY,8,01:53.8,152,HHW,"Mar 31, 2019",1.437/sec,190,190,https://bangdream.blog.so-net.ne.jp/2019-03-31-3,01:53.707,01:53.707,01:51.158,01:45.789
182,Dreamers Go!,Dreamers Go!,EXPERT,25,01:45.8,669,Popipa,"Mar 29, 2019",6.601/sec,185,185,https://bangdream.blog.so-net.ne.jp/2019-03-29,01:45.792,01:45.792,01:45.082,01:41.351
182,Dreamers Go!,Dreamers Go!,HARD,18,01:45.8,438,Popipa,"Mar 29, 2019",4.329/sec,185,185,https://bangdream.blog.so-net.ne.jp/2019-03-29-1,01:45.792,01:45.792,01:45.082,01:41.189
182,Dreamers Go!,Dreamers Go!,NORMAL,14,01:45.8,267,Popipa,"Mar 29, 2019",2.660/sec,185,185,https://bangdream.blog.so-net.ne.jp/2019-03-29-2,01:45.792,01:45.792,01:45.082,01:40.378
182,Dreamers Go!,Dreamers Go!,EASY,8,01:45.8,141,Popipa,"Mar 29, 2019",1.401/sec,185,185,https://bangdream.blog.so-net.ne.jp/2019-03-29-3,01:45.792,01:45.792,01:45.082,01:40.703
181,NO GIRL NO CRY,NO GIRL NO CRY,EXPERT,24,01:53.2,587,Popipa,"Mar 25, 2019",5.436/sec,190,190,https://bangdream.blog.so-net.ne.jp/2019-03-26,01:53.112,01:53.112,01:52.422,01:48.000
181,NO GIRL NO CRY,NO GIRL NO CRY,HARD,18,01:53.2,470,Popipa,"Mar 25, 2019",4.352/sec,190,190,https://bangdream.blog.so-net.ne.jp/2019-03-26-1,01:53.112,01:53.112,01:52.422,01:48.000
181,NO GIRL NO CRY,NO GIRL NO CRY,NORMAL,14,01:53.2,311,Popipa,"Mar 25, 2019",2.880/sec,190,190,https://bangdream.blog.so-net.ne.jp/2019-03-26-2,01:53.112,01:53.112,01:52.422,01:48.000
181,NO GIRL NO CRY,NO GIRL NO CRY,EASY,9,01:53.2,192,Popipa,"Mar 25, 2019",1.768/sec,190,190,https://bangdream.blog.so-net.ne.jp/2019-03-26-3,01:53.112,01:53.112,01:52.422,01:48.632
180,Returns,Returns,EXPERT,25,02:12.4,698,Popipa,"Mar 22, 2019",5.480/sec,185,104-185,https://bangdream.blog.so-net.ne.jp/2019-03-22,02:12.336,02:12.336,02:11.625,02:07.387
180,Returns,Returns,HARD,17,02:12.4,473,Popipa,"Mar 22, 2019",3.714/sec,185,104-185,https://bangdream.blog.so-net.ne.jp/2019-03-22-1,02:12.336,02:12.336,02:11.625,02:07.387
180,Returns,Returns,NORMAL,14,02:12.4,269,Popipa,"Mar 22, 2019",2.123/sec,185,104-185,https://bangdream.blog.so-net.ne.jp/2019-03-22-2,02:12.336,02:12.336,02:11.625,02:06.738
180,Returns,Returns,EASY,7,02:12.4,140,Popipa,"Mar 22, 2019",1.097/sec,185,104-185,https://bangdream.blog.so-net.ne.jp/2019-03-22-3,02:12.336,02:12.336,02:11.625,02:07.711
179,檄！帝国華撃団,Geki! Teikoku Kagekidan,EXPERT,26,02:02.6,902,Other,"Mar 17, 2019",7.861/sec,143,143,https://bangdream.blog.so-net.ne.jp/2019-03-15-1,02:02.539,02:02.539,01:59.161,01:54.755
179,檄！帝国華撃団,Geki! Teikoku Kagekidan,HARD,18,02:02.6,465,Other,"Mar 17, 2019",4.079/sec,143,143,https://bangdream.blog.so-net.ne.jp/2019-03-16-3,02:02.539,02:02.539,01:59.161,01:54.021
179,檄！帝国華撃団,Geki! Teikoku Kagekidan,NORMAL,14,02:02.6,311,Other,"Mar 17, 2019",2.728/sec,143,143,https://bangdream.blog.so-net.ne.jp/2019-03-16-4,02:02.539,02:02.539,01:59.161,01:54.021
179,檄！帝国華撃団,Geki! Teikoku Kagekidan,EASY,10,02:02.6,215,Other,"Mar 17, 2019",1.879/sec,143,143,https://bangdream.blog.so-net.ne.jp/2019-03-16-5,02:02.539,02:02.539,01:59.161,01:54.440
178,革命デュアリズム,Kakumei Dualism,EXPERT,26,01:43.1,681,Other,"Mar 16, 2019",6.946/sec,205,205,https://bangdream.blog.so-net.ne.jp/2019-03-15,01:43.040,01:43.040,01:40.683,01:38.049
178,革命デュアリズム,Kakumei Dualism,HARD,19,01:43.1,497,Other,"Mar 16, 2019",5.069/sec,205,205,https://bangdream.blog.so-net.ne.jp/2019-03-16,01:43.040,01:43.040,01:40.683,01:38.049
178,革命デュアリズム,Kakumei Dualism,NORMAL,15,01:43.1,272,Other,"Mar 16, 2019",2.770/sec,205,205,https://bangdream.blog.so-net.ne.jp/2019-03-16-1,01:43.040,01:43.040,01:40.683,01:38.196
178,革命デュアリズム,Kakumei Dualism,EASY,11,01:43.1,190,Other,"Mar 16, 2019",1.953/sec,205,205,https://bangdream.blog.so-net.ne.jp/2019-03-16-2,01:43.040,01:43.040,01:40.683,01:37.317
177,SAKURA MEMORIES,SAKURA MEMORIES,EXPERT,25,01:59.4,651,Popipa,"Mar 08, 2019",5.667/sec,176,176,https://bangdream.blog.so-net.ne.jp/2019-03-08,01:59.339,01:59.339,01:58.637,01:54.887
177,SAKURA MEMORIES,SAKURA MEMORIES,HARD,17,01:59.4,458,Popipa,"Mar 08, 2019",3.987/sec,176,176,https://bangdream.blog.so-net.ne.jp/2019-03-08-1,01:59.339,01:59.339,01:58.637,01:54.887
177,SAKURA MEMORIES,SAKURA MEMORIES,NORMAL,13,01:59.4,234,Popipa,"Mar 08, 2019",2.037/sec,176,176,https://bangdream.blog.so-net.ne.jp/2019-03-08-2,01:59.339,01:59.339,01:58.637,01:54.887
177,SAKURA MEMORIES,SAKURA MEMORIES,EASY,7,01:59.4,152,Popipa,"Mar 08, 2019",1.327/sec,176,176,https://bangdream.blog.so-net.ne.jp/2019-03-08-3,01:59.339,01:59.339,01:58.637,01:54.546
176,Baby Sweet Berry Love,Baby Sweet Berry Love,EXPERT,26,01:44.5,729,Pasupare,"Feb 28, 2019",7.404/sec,170,170,https://bangdream.blog.so-net.ne.jp/2019-02-28,01:44.491,01:44.491,01:43.059,01:38.471
176,Baby Sweet Berry Love,Baby Sweet Berry Love,HARD,18,01:44.5,464,Pasupare,"Feb 28, 2019",4.696/sec,170,170,https://bangdream.blog.so-net.ne.jp/2019-02-28-1,01:44.491,01:44.491,01:43.059,01:38.823
176,Baby Sweet Berry Love,Baby Sweet Berry Love,NORMAL,13,01:44.5,252,Pasupare,"Feb 28, 2019",2.569/sec,170,170,https://bangdream.blog.so-net.ne.jp/2019-02-28-2,01:44.491,01:44.491,01:43.059,01:38.118
176,Baby Sweet Berry Love,Baby Sweet Berry Love,EASY,8,01:44.5,136,Pasupare,"Feb 28, 2019",1.377/sec,170,170,https://bangdream.blog.so-net.ne.jp/2019-02-28-3,01:44.491,01:44.491,01:43.059,01:38.823
175,Ringing Bloom,Ringing Bloom,EXPERT,28,02:01.3,1094,Roselia,"Feb 19, 2019",9.419/sec,195,195,https://bangdream.blog.so-net.ne.jp/2019-02-19,02:01.237,02:01.237,01:59.385,01:56.154
175,Ringing Bloom,Ringing Bloom,HARD,23,02:01.3,634,Roselia,"Feb 19, 2019",5.444/sec,195,195,https://bangdream.blog.so-net.ne.jp/2019-02-19-1,02:01.237,02:01.237,01:59.385,01:56.461
175,Ringing Bloom,Ringing Bloom,NORMAL,16,02:01.3,442,Roselia,"Feb 19, 2019",3.796/sec,195,195,https://bangdream.blog.so-net.ne.jp/2019-02-19-2,02:01.237,02:01.237,01:59.385,01:56.461
175,Ringing Bloom,Ringing Bloom,EASY,12,02:01.3,280,Roselia,"Feb 19, 2019",2.398/sec,195,195,https://bangdream.blog.so-net.ne.jp/2019-02-19-3,02:01.237,02:01.237,01:59.385,01:56.769
174,オトモダチフィルム,Otomodachi Film,EXPERT,25,01:41.1,675,Popipa,"Feb 10, 2019",7.168/sec,158,158,https://bangdream.blog.so-net.ne.jp/2019-02-08,01:41.035,01:41.035,01:38.735,01:34.178
174,オトモダチフィルム,Otomodachi Film,HARD,18,01:41.1,435,Popipa,"Feb 10, 2019",4.582/sec,158,158,https://bangdream.blog.so-net.ne.jp/2019-02-08-3,01:41.035,01:41.035,01:38.735,01:34.937
174,オトモダチフィルム,Otomodachi Film,NORMAL,14,01:41.1,287,Popipa,"Feb 10, 2019",3.024/sec,158,158,https://bangdream.blog.so-net.ne.jp/2019-02-08-4,01:41.035,01:41.035,01:38.735,01:34.937
174,オトモダチフィルム,Otomodachi Film,EASY,9,01:41.1,157,Popipa,"Feb 10, 2019",1.654/sec,158,158,https://bangdream.blog.so-net.ne.jp/2019-02-08-5,01:41.035,01:41.035,01:38.735,01:34.937
11,Butter-Fly,Butterfly,SPECIAL,26,01:56.6,844,Afterglow,"Feb 10, 2019",7.625/sec,171,171,https://bangdream.blog.so-net.ne.jp/2019-02-08-1,01:56.501,01:56.501,01:55.088,01:50.702
2,STAR BEAT!〜ホシノコドウ〜,Star Beat,SPECIAL,26,02:13.0,854,Popipa,"Feb 10, 2019",6.605/sec,195,195,https://bangdream.blog.so-net.ne.jp/2019-02-08-2,02:12.924,02:12.779,02:12.924,02:09.307
173,夜行性ハイズ,Yakousei Haizu,EXPERT,25,01:45.6,662,Popipa,"Feb 04, 2019",6.767/sec,132,132,https://bangdream.blog.so-net.ne.jp/2019-02-05,01:45.504,01:45.504,01:43.637,01:37.841
173,夜行性ハイズ,Yakousei Haizu,HARD,18,01:45.6,450,Popipa,"Feb 04, 2019",4.600/sec,132,132,https://bangdream.blog.so-net.ne.jp/2019-02-05-1,01:45.504,01:45.504,01:43.637,01:37.841
173,夜行性ハイズ,Yakousei Haizu,NORMAL,12,01:45.6,214,Popipa,"Feb 04, 2019",2.178/sec,132,132,https://bangdream.blog.so-net.ne.jp/2019-02-05-2,01:45.504,01:45.504,01:43.637,01:38.296
173,夜行性ハイズ,Yakousei Haizu,EASY,7,01:45.6,120,Popipa,"Feb 04, 2019",1.212/sec,132,132,https://bangdream.blog.so-net.ne.jp/2019-02-05-3,01:45.504,01:45.504,01:43.637,01:39.091
172,らしさ,Rashisa,EXPERT,26,01:53.3,777,Afterglow,"Jan 31, 2019",7.128/sec,168,84-168,https://bangdream.blog.so-net.ne.jp/2019-01-31,01:53.280,01:53.280,01:51.786,01:49.018
172,らしさ,Rashisa,HARD,19,01:53.3,500,Afterglow,"Jan 31, 2019",4.621/sec,168,84-168,https://bangdream.blog.so-net.ne.jp/2019-01-31-1,01:53.280,01:53.280,01:51.786,01:48.215
172,らしさ,Rashisa,NORMAL,13,01:53.3,258,Afterglow,"Jan 31, 2019",2.377/sec,168,84-168,https://bangdream.blog.so-net.ne.jp/2019-01-31-2,01:53.280,01:53.280,01:51.786,01:48.572
172,らしさ,Rashisa,EASY,7,01:53.3,135,Afterglow,"Jan 31, 2019",1.244/sec,168,84-168,https://bangdream.blog.so-net.ne.jp/2019-01-31-3,01:53.280,01:53.280,01:51.786,01:48.572
171,はれやか すこやか ぴかりんりん♪,Hareyaka Sukoyaka Pikarinrin♪,EXPERT,26,01:41.3,694,HHW,"Jan 21, 2019",7.152/sec,230,230,https://bangdream.blog.so-net.ne.jp/2019-01-21,01:41.256,01:41.256,01:39.131,01:37.044
171,はれやか すこやか ぴかりんりん♪,Hareyaka Sukoyaka Pikarinrin♪,HARD,20,01:41.3,540,HHW,"Jan 21, 2019",5.580/sec,230,230,https://bangdream.blog.so-net.ne.jp/2019-01-21-1,01:41.256,01:41.256,01:39.131,01:36.783
171,はれやか すこやか ぴかりんりん♪,Hareyaka Sukoyaka Pikarinrin♪,NORMAL,15,01:41.3,299,HHW,"Jan 21, 2019",3.090/sec,230,230,https://bangdream.blog.so-net.ne.jp/2019-01-21-2,01:41.256,01:41.256,01:39.131,01:36.783
171,はれやか すこやか ぴかりんりん♪,Hareyaka Sukoyaka Pikarinrin♪,EASY,10,01:41.3,177,HHW,"Jan 21, 2019",1.829/sec,230,230,https://bangdream.blog.so-net.ne.jp/2019-01-21-3,01:41.256,01:41.256,01:39.131,01:36.783
170,Jumpin',JP / じゃんぴん / ジャンピン,EXPERT,26,01:33.6,561,Popipa,"Jan 17, 2019",6.393/sec,195,40-195,https://bangdream.blog.so-net.ne.jp/2019-01-17,01:33.504,01:33.504,01:32.226,01:27.754
170,Jumpin',JP / じゃんぴん / ジャンピン,HARD,20,01:33.6,370,Popipa,"Jan 17, 2019",4.258/sec,195,40-195,https://bangdream.blog.so-net.ne.jp/2019-01-17-1,01:33.504,01:33.504,01:32.226,01:26.897
